Month,Aluminum Price (US Dollars per Metric Ton),"Copper, grade A cathode Price (US Dollars per Metric Ton)",Aluminum ROC,"Copper, grade A cathode ROC","Aluminum / Copper, grade A cathode Price Ratio"
Jan-08,"2,445.52","7,061.02",-,-,0.3463
Feb-08,"2,776.93","7,887.69",13.55%,11.71%,0.3521
Mar-08,"3,005.29","8,439.29",8.22%,6.99%,0.3561
Apr-08,"2,959.27","8,684.93",-1.53%,2.91%,0.3407
May-08,"2,902.90","8,382.75",-1.90%,-3.48%,0.3463
Jun-08,"2,957.86","8,260.60",1.89%,-1.46%,0.3581
Jul-08,"3,071.24","8,414.04",3.83%,1.86%,0.365
Aug-08,"2,764.38","7,634.70",-9.99%,-9.26%,0.3621
Sep-08,"2,525.82","6,990.86",-8.63%,-8.43%,0.3613
Oct-08,"2,121.41","4,925.70",-16.01%,-29.54%,0.4307
Nov-08,"1,852.43","3,717.00",-12.68%,-24.54%,0.4984
Dec-08,"1,490.43","3,071.98",-19.54%,-17.35%,0.4852
Jan-09,"1,413.12","3,220.69",-5.19%,4.84%,0.4388
Feb-09,"1,330.20","3,314.73",-5.87%,2.92%,0.4013
Mar-09,"1,335.84","3,749.75",0.42%,13.12%,0.3562
Apr-09,"1,420.85","4,406.55",6.36%,17.52%,0.3224
May-09,"1,460.45","4,568.63",2.79%,3.68%,0.3197
Jun-09,"1,573.73","5,013.96",7.76%,9.75%,0.3139
Jul-09,"1,667.96","5,215.54",5.99%,4.02%,0.3198
Aug-09,"1,933.75","6,165.30",15.94%,18.21%,0.3137
Sep-09,"1,834.11","6,196.43",-5.15%,0.50%,0.296
Oct-09,"1,878.57","6,287.98",2.42%,1.48%,0.2988
Nov-09,"1,949.29","6,675.60",3.76%,6.16%,0.292
Dec-09,"2,180.10","6,981.71",11.84%,4.59%,0.3123
Jan-10,"2,235.15","7,386.25",2.53%,5.79%,0.3026
Feb-10,"2,048.93","6,848.18",-8.33%,-7.28%,0.2992
Mar-10,"2,205.63","7,462.83",7.65%,8.98%,0.2955
Apr-10,"2,316.73","7,745.08",5.04%,3.78%,0.2991
May-10,"2,040.53","6,837.68",-11.92%,-11.72%,0.2984
Jun-10,"1,931.39","6,499.30",-5.35%,-4.95%,0.2972
Jul-10,"1,988.27","6,735.25",2.95%,3.63%,0.2952
Aug-10,"2,118.14","7,283.95",6.53%,8.15%,0.2908
Sep-10,"2,162.34","7,709.30",2.09%,5.84%,0.2805
Oct-10,"2,346.57","8,292.41",8.52%,7.56%,0.283
Nov-10,"2,333.07","8,469.89",-0.58%,2.14%,0.2755
Dec-10,"2,350.67","9,147.26",0.75%,8.00%,0.257
Jan-11,"2,439.53","9,555.70",3.78%,4.47%,0.2553
Feb-11,"2,508.18","9,867.60",2.81%,3.26%,0.2542
Mar-11,"2,555.50","9,503.36",1.89%,-3.69%,0.2689
Apr-11,"2,678.11","9,492.79",4.80%,-0.11%,0.2821
May-11,"2,596.45","8,959.90",-3.05%,-5.61%,0.2898
Jun-11,"2,557.76","9,066.85",-1.49%,1.19%,0.2821
Jul-11,"2,525.43","9,650.46",-1.26%,6.44%,0.2617
Aug-11,"2,379.35","9,000.76",-5.78%,-6.73%,0.2643
Sep-11,"2,293.46","8,300.14",-3.61%,-7.78%,0.2763
Oct-11,"2,180.65","7,394.19",-4.92%,-10.91%,0.2949
Nov-11,"2,079.98","7,581.02",-4.62%,2.53%,0.2744
Dec-11,"2,022.25","7,565.48",-2.78%,-0.20%,0.2673
Jan-12,"2,144.20","8,040.47",6.03%,6.28%,0.2667
Feb-12,"2,207.92","8,441.49",2.97%,4.99%,0.2616
Mar-12,"2,184.16","8,470.78",-1.08%,0.35%,0.2578
Apr-12,"2,049.67","8,289.48",-6.16%,-2.14%,0.2473
May-12,"2,007.63","7,955.64",-2.05%,-4.03%,0.2524
Jun-12,"1,890.18","7,423.02",-5.85%,-6.69%,0.2546
Jul-12,"1,876.25","7,584.26",-0.74%,2.17%,0.2474
Aug-12,"1,845.38","7,515.53",-1.65%,-0.91%,0.2455
